element_size_m,Tmax_data_C,Tmax_fitted_C
0.0001,29.724,29.73190020592008
9.5e-05,29.741,29.733601951405277
9e-05,29.743,29.73533925618305
8.5e-05,29.741,29.737112863292417
8e-05,29.726,29.738923531298763
7.5e-05,29.743,29.7407720346183
7e-05,29.757,29.742659163849254
6.5e-05,29.75,29.74458572611002
6e-05,29.7,29.746552545384365
5.5e-05,29.757,29.748560462873822
5e-05,29.757,29.750610337357497
4.5e-05,29.759,29.75270304555934
4e-05,29.761,29.754839482523135
3.5e-05,29.761,29.7570205619953
3e-05,29.759,29.759247216815698
2.5e-05,29.762,29.76152039931659
2e-05,29.762,29.763841081729975
1.5e-05,29.763,29.766210256603387
